residencia_provincia_id,Poblacion
6,17541141
10,415438
22,1204541
26,618994
2,3075646
18,1120801
14,3760450
30,1385961
34,605193
38,770881
42,358428
46,393531
50,1990338
54,1261294
58,664057
62,74761
99,0
66,1424397
70,781217
74,508328
78,365698
82,3536418
86,978313
94,173432
90,1694656
